# SRH vs RCB - Match 1
# 2026-03-28
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
31, Ishan Kishan, SRH, JD, 1, 0, 80, 8, 5, 0, 0, 0, 0, 0, 0, 0, 0
32, Heinrich Klaasen, SRH, JD, 1, 0, 31, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0
93, Travis Head, SRH, Ragu, 1, 0, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
51, Abhishek Sharma, SRH, Prakash, 1, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
81, Aniket Verma, SRH, Dots, 1, 0, 43, 3, 4, 0, 0, 0, 0, 1, 0, 0, 0
71, Harshal Patel, SRH, Darshan, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
86, Pat Cummins, SRH, Dots, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, Devdutt Padikkal, RCB, JD, 1, 0, 61, 7, 4, 0, 0, 0, 0, 3, 0, 0, 0
47, Virat Kohli, RCB, Prakash, 1, 0, 69, 5, 5, 0, 0, 0, 0, 1, 0, 0, 0
8, Rajat Patidar, RCB, RK, 1, 0, 31, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0
42, Tim David, RCB, JD, 1, 0, 16, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
103, Krunal Pandya, RCB, Ragu, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
100, Suyash Sharma, RCB, Ragu, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0
41, Bhuvneshwar Kumar, RCB, JD, 1, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0
101, Philip Salt, RCB, Ragu, 1, 0, 8, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0
58, Jitesh Sharma, RCB, Prakash, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
