# KKR vs MI - Match 2
# 2026-03-29
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
19, Ajinkya Rahane, KKR, Rijo, 1, 0, 67, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
76, Angkrish Raghuvanshi, KKR, Dots, 1, 0, 51, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
64, Finn Allen, KKR, Darshan, 1, 0, 37, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
6, Sunil Narine, KKR, RK, 1, 0, 12, 0, 2, 1, 6, 0, 0, 0, 0, 0, 0
21, Vaibhav Arora, KKR, Rijo, 1, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0
46, Blessing Muzarabani, KKR, Prakash, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0
98, Cameron Green, KKR, Ragu, 1, 0, 18, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
92, Rinku Singh, KKR, Ragu, 1, 0, 33, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0
113, Ramandeep Singh, KKR, Prabhu, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
114, Varun Chakravarthy, KKR, Prabhu, 1, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0
2, Rohit Sharma, MI, RK, 1, 0, 78, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
48, Suryakumar Yadav, MI, Prakash, 1, 0, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
82, Hardik Pandya, MI, Dots, 1, 0, 18, 3, 0, 1, 7, 0, 0, 1, 0, 0, 0
77, Shardul Thakur, MI, Dots, 1, 1, 0, 0, 0, 3, 7, 0, 0, 0, 0, 0, 0
40, Jasprit Bumrah, MI, JD, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
23, Tilak Varma, MI, Rijo, 1, 0, 20, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0
68, Naman Dhir, MI, Darshan, 1, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
117, Trent Boult, MI, Prabhu, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0
12, AM Ghazanfar, MI, RK, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0
