# CSK vs RR - Match 3
# 2026-03-30
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
20, Ayush Mhatre, CSK, Rijo, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54, Ruturaj Gaikwad, CSK, Prakash, 1, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
50, Sarfaraz Khan, CSK, Prakash, 1, 0, 17, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0
37, Jamie Overton, CSK, JD, 1, 0, 43, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0
109, Shivam Dube, CSK, Prabhu, 1, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
11, Sanju Samson, CSK, RK, 1, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, Noor Ahmad, CSK, Dots, 1, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
56, Khaleel Ahmed, CSK, Prakash, 1, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0
79, Matt Henry, CSK, Dots, 1, 0, 5, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0
4, Vaibhav Sooryavanshi, RR, RK, 1, 0, 52, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0
61, Yashasvi Jaiswal, RR, Darshan, 1, 0, 38, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0
35, Ravindra Jadeja, RR, JD, 1, 0, 7, 1, 0, 2, 11, 0, 2, 0, 0, 0, 0
1, Ravi Bishnoi, RR, RK, 1, 0, 0, 0, 0, 1, 8, 0, 0, 2, 0, 0, 0
3, Dhruv Jurel, RR, RK, 1, 0, 18, 4, 0, 0, 0, 0, 0, 2, 0, 1, 0
67, Riyan Parag, RR, Darshan, 1, 0, 14, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
78, Jofra Archer, RR, Dots, 1, 0, 1, 0, 0, 2, 17, 0, 1, 0, 0, 0, 0
97, Sandeep Sharma, RR, Ragu, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0
96, Shimron Hetmyer, RR, Ragu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
9, Tushar Deshpande, RR, RK, 1, 0, 0, 0, 0, 1, 7, 0, 0, 1, 0, 0, 0
