# GT vs PBKS - Match 4
# 2026-03-31
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
94, Shubman Gill, GT, Ragu, 1, 0, 39, 6, 0, 0, 0, 0, 0, 2, 0, 0, 0
49, Jos Buttler, GT, Prakash, 1, 0, 38, 3, 2, 0, 0, 0, 0, 1, 0, 0, 0
17, Sai Sudharsan, GT, Rijo, 1, 0, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, Washington Sundar, GT, Prakash, 1, 0, 18, 2, 0, 1, 6, 0, 0, 1, 0, 0, 0
55, Glenn Phillips, GT, Prakash, 1, 0, 25, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0
65, Rashid Khan, GT, Darshan, 1, 0, 0, 0, 0, 1, 10, 0, 0, 1, 0, 0, 0
33, Kagiso Rabada, GT, JD, 1, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0
16, Prasidh Krishna, GT, Rijo, 1, 0, 0, 0, 0, 3, 11, 0, 1, 1, 0, 0, 0
7, Mohammed Siraj, GT, RK, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0
18, Prabhsimran Singh, PBKS, Rijo, 1, 0, 37, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0
63, Priyansh Arya, PBKS, Darshan, 1, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
106, Shreyas Iyer, PBKS, Prabhu, 1, 0, 18, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0
22, Marco Jansen, PBKS, Rijo, 1, 0, 9, 0, 1, 1, 8, 0, 0, 1, 0, 0, 0
107, Yuzvendra Chahal, PBKS, Prabhu, 1, 0, 0, 0, 0, 2, 9, 0, 0, 0, 0, 0, 0
110, Xavier Bartlett, PBKS, Prabhu, 1, 0, 11, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0
69, Arshdeep Singh, PBKS, Darshan, 1, 0, 0, 0, 0, 0, 9, 0, 0, 2, 0, 0, 0
25, Shashank Singh, PBKS, Rijo, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, Nehal Wadhera, PBKS, RK, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
102, Marcus Stoinis, PBKS, Ragu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
