# LSG vs DC - Match 5
# 2026-04-01
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
70, Rishabh Pant, LSG, Darshan, 1, 0, 7, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
26, Nicholas Pooran, LSG, Rijo, 1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
84, Aiden Markram, LSG, Dots, 1, 0, 11, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0
38, Mitchell Marsh, LSG, JD, 1, 0, 35, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0
111, Abdul Samad, LSG, Prabhu, 1, 0, 36, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0
95, Mohsin Khan, LSG, Ragu, 1, 0, 0, 0, 0, 1, 15, 1, 0, 1, 0, 0, 0
39, Mohammed Shami, LSG, JD, 1, 0, 1, 0, 0, 1, 12, 0, 0, 0, 0, 0, 0
115, Shahbaz Ahmed, LSG, Prabhu, 1, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, Ayush Badoni, LSG, Rijo, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36, Pathum Nissanka, DC, JD, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
112, David Miller, DC, Prabhu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
80, Axar Patel, DC, Dots, 1, 0, 0, 0, 0, 1, 9, 0, 1, 0, 0, 0, 0
62, T Natarajan, DC, Darshan, 1, 0, 0, 0, 0, 3, 8, 0, 0, 0, 0, 0, 0
108, Kuldeep Yadav, DC, Prabhu, 1, 0, 0, 0, 0, 2, 8, 0, 0, 2, 0, 0, 0
91, Lungi Ngidi, DC, Ragu, 1, 0, 0, 0, 0, 3, 9, 0, 1, 0, 0, 0, 0
5, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 0, 11, 0, 0, 1, 0, 1, 0
66, Tristan Stubbs, DC, Darshan, 1, 0, 39, 3, 1, 0, 0, 0, 0, 2, 0, 0, 0
116, KL Rahul, DC, Prabhu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
24, Vipraj Nigam, DC, Rijo, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
