# SRH vs KKR - Match 6
# 2026-04-02
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
93, Travis Head, SRH, Ragu, 1, 0, 46, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0
31, Ishan Kishan, SRH, JD, 1, 0, 14, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0
32, Heinrich Klaasen, SRH, JD, 1, 0, 52, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0
51, Abhishek Sharma, SRH, Prakash, 1, 0, 48, 4, 4, 0, 1, 0, 0, 0, 0, 0, 0
81, Aniket Verma, SRH, Dots, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
19, Ajinkya Rahane, KKR, Rijo, 1, 0, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
76, Angkrish Raghuvanshi, KKR, Dots, 1, 0, 52, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
64, Finn Allen, KKR, Darshan, 1, 0, 28, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0
6, Sunil Narine, KKR, RK, 1, 0, 12, 0, 2, 0, 6, 0, 0, 0, 0, 0, 0
21, Vaibhav Arora, KKR, Rijo, 1, 0, 1, 0, 0, 2, 9, 0, 1, 0, 0, 0, 0
46, Blessing Muzarabani, KKR, Prakash, 1, 0, 0, 0, 0, 3, 7, 0, 0, 0, 0, 0, 0
98, Cameron Green, KKR, Ragu, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
92, Rinku Singh, KKR, Ragu, 1, 0, 35, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0
113, Ramandeep Singh, KKR, Prabhu, 1, 0, 10, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
114, Varun Chakravarthy, KKR, Prabhu, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0
