# CSK vs PBKS - Match 7
# 2026-04-03
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
20, Ayush Mhatre, CSK, Rijo, 1, 0, 73, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
54, Ruturaj Gaikwad, CSK, Prakash, 1, 0, 28, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0
50, Sarfaraz Khan, CSK, Prakash, 1, 0, 32, 6, 1, 0, 0, 0, 0, 1, 0, 1, 0
11, Sanju Samson, CSK, RK, 1, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
109, Shivam Dube, CSK, Prabhu, 1, 0, 45, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
56, Khaleel Ahmed, CSK, Prakash, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0
79, Matt Henry, CSK, Dots, 1, 0, 5, 1, 0, 2, 6, 0, 1, 1, 0, 0, 0
83, Noor Ahmad, CSK, Dots, 1, 0, 1, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0
57, Prashant Veer, CSK, Prakash, 1, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, Prabhsimran Singh, PBKS, Rijo, 1, 0, 43, 6, 1, 0, 0, 0, 0, 1, 0, 0, 0
63, Priyansh Arya, PBKS, Darshan, 1, 1, 39, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0
106, Shreyas Iyer, PBKS, Prabhu, 1, 0, 50, 4, 3, 0, 0, 0, 0, 1, 0, 0, 0
22, Marco Jansen, PBKS, Rijo, 1, 0, 0, 0, 0, 1, 11, 0, 1, 0, 0, 0, 0
107, Yuzvendra Chahal, PBKS, Prabhu, 1, 0, 0, 0, 0, 1, 4, 0, 0, 1, 0, 0, 0
110, Xavier Bartlett, PBKS, Prabhu, 1, 0, 11, 0, 1, 1, 7, 0, 0, 0, 0, 0, 0
69, Arshdeep Singh, PBKS, Darshan, 1, 0, 0, 0, 0, 0, 9, 0, 0, 2, 0, 0, 0
25, Shashank Singh, PBKS, Rijo, 1, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
102, Marcus Stoinis, PBKS, Ragu, 1, 0, 9, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0
10, Nehal Wadhera, PBKS, RK, 1, 0, 10, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
