# MI vs DC - Match 8
# 2026-04-04
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings
2, Rohit Sharma, MI, RK, 1, 0, 35, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
48, Suryakumar Yadav, MI, Prakash, 1, 0, 51, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0
23, Tilak Varma, MI, Rijo, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
82, Hardik Pandya, MI, Dots, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, Jasprit Bumrah, MI, JD, 1, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 0
53, Mitchell Santner, MI, Prakash, 1, 0, 18, 2, 0, 1, 8, 0, 0, 0, 0, 0, 0
68, Naman Dhir, MI, Darshan, 1, 0, 28, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
99, Deepak Chahar, MI, Ragu, 1, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0
77, Shardul Thakur, MI, Dots, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
36, Pathum Nissanka, DC, JD, 1, 0, 44, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0
116, KL Rahul, DC, Prabhu, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
80, Axar Patel, DC, Dots, 1, 0, 0, 0, 0, 1, 8, 0, 0, 1, 0, 0, 0
62, T Natarajan, DC, Darshan, 1, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0
108, Kuldeep Yadav, DC, Prabhu, 1, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0
91, Lungi Ngidi, DC, Ragu, 1, 0, 0, 0, 0, 1, 8, 0, 1, 0, 0, 0, 0
5, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 2, 10, 0, 0, 2, 0, 0, 0
66, Tristan Stubbs, DC, Darshan, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
112, David Miller, DC, Prabhu, 1, 0, 21, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, Vipraj Nigam, DC, Rijo, 1, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0
